S1902: MEAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2015 American Community Survey 5-Year Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Supporting documentation on code lists, subject definitions, data accuracy, and statistical testing can be found on the American Community Survey website in the Data and Documentation section.
Sample size and data quality measures (including coverage rates, allocation rates, and response rates) can be found on the American Community Survey website in the Methodology section.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tell us what you think. Provide feedback to help make American Community Survey data more useful for you.
Although the American Community Survey (ACS) produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns and estimates of housing units for states and counties.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,,,"Census Tract 101, San Francisco County, California",,,,,,"Census Tract 102, San Francisco County, California",,,,"Census Tract 103, San Francisco County, California",,,,"Census Tract 104, San Francisco County, California",,,,"Census Tract 105, San Francisco County, California",,,,"Census Tract 106, San Francisco County, California",,,,"Census Tract 107, San Francisco County, California",,,,"Census Tract 108, San Francisco County, California",,,,"Census Tract 109, San Francisco County, California",,,,"Census Tract 110, San Francisco County, California",,,,"Census Tract 111, San Francisco County, California",,,,"Census Tract 112, San Francisco County, California",,,,"Census Tract 113, San Francisco County, California",,,,"Census Tract 117, San Francisco County, California",,,,"Census Tract 118, San Francisco County, California",,,,"Census Tract 119.01, San Francisco County, California",,,,"Census Tract 119.02, San Francisco County, California",,,,"Census Tract 120, San Francisco County, California",,,,"Census Tract 121, San Francisco County, California",,,,"Census Tract 122.01, San Francisco County, California",,,,"Census Tract 122.02, San Francisco County, California",,,,"Census Tract 123.01, San Francisco County, California",,,,"Census Tract 123.02, San Francisco County, California",,,,"Census Tract 124.01, San Francisco County, California",,,,"Census Tract 124.02, San Francisco County, California",,,,"Census Tract 125.01, San Francisco County, California",,,,"Census Tract 125.02, San Francisco County, California",,,,"Census Tract 126.01, San Francisco County, California",,,,"Census Tract 126.02, San Francisco County, California",,,
,,,Total,,,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),,Total,,Mean income (dollars),
,,,Estimate,,,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
All households,,,"2,049",,,+/-114,"94,453","+/-18,462","2,615",+/-171,"185,006","+/-24,740","2,030",+/-171,"141,024","+/-41,686","2,557",+/-183,"152,699","+/-23,692","1,582",+/-145,"151,799","+/-27,298","1,872",+/-126,"72,294","+/-12,457","2,426",+/-144,"46,893","+/-8,321","2,524",+/-137,"109,480","+/-14,718","2,789",+/-98,"144,778","+/-19,299","2,617",+/-129,"135,713","+/-21,359","3,036",+/-176,"91,219","+/-10,759","1,818",+/-142,"186,509","+/-86,141","1,517",+/-98,"69,536","+/-16,060","1,024",+/-92,"83,411","+/-22,792",699,+/-48,"44,668","+/-11,017","1,509",+/-120,"98,242","+/-12,555","1,837",+/-104,"83,683","+/-11,747","2,569",+/-149,"51,945","+/-8,640","2,155",+/-124,"71,466","+/-14,828","2,931",+/-121,"49,920","+/-8,681","1,616",+/-103,"54,412","+/-14,213","1,300",+/-140,"23,216","+/-4,172","1,796",+/-139,"54,330","+/-9,888","2,548",+/-213,"30,356","+/-5,806","2,252",+/-165,"63,470","+/-10,810","2,272",+/-194,"23,465","+/-4,254","2,229",+/-133,"21,468","+/-4,476","1,503",+/-109,"140,503","+/-16,528","1,712",+/-83,"163,964","+/-19,841"
  With earnings,,,74.5%,,,+/-6.0,"98,827","+/-14,091",79.5%,+/-4.3,"182,225","+/-24,976",84.5%,+/-5.8,"144,490","+/-48,423",86.0%,+/-3.8,"121,485","+/-17,474",68.8%,+/-6.8,"172,485","+/-27,758",70.6%,+/-6.6,"87,382","+/-17,036",61.2%,+/-7.9,"57,900","+/-12,794",75.0%,+/-6.3,"110,135","+/-11,658",77.3%,+/-4.9,"165,011","+/-23,983",84.9%,+/-5.0,"151,394","+/-23,462",80.3%,+/-5.3,"105,361","+/-13,633",69.4%,+/-5.9,"181,837","+/-73,025",61.0%,+/-8.2,"82,863","+/-19,853",82.0%,+/-5.9,"90,123","+/-28,012",68.0%,+/-7.6,"53,097","+/-14,137",75.5%,+/-5.8,"115,581","+/-14,834",81.8%,+/-6.7,"92,888","+/-12,125",77.7%,+/-6.1,"54,931","+/-7,006",82.2%,+/-6.8,"77,113","+/-16,989",69.8%,+/-8.0,"61,799","+/-10,811",75.7%,+/-7.0,"66,274","+/-17,434",42.2%,+/-8.2,"36,783","+/-8,325",66.5%,+/-6.0,"70,974","+/-13,100",66.8%,+/-7.5,"39,034","+/-8,619",65.5%,+/-7.3,"83,595","+/-13,891",41.3%,+/-7.5,"35,347","+/-8,958",33.3%,+/-8.6,"38,181","+/-9,286",93.3%,+/-3.1,"133,519","+/-17,052",89.1%,+/-4.1,"164,129","+/-20,054"
"  With interest, dividends, or net rental income",,,27.4%,,,+/-7.1,"41,610","+/-48,127",39.7%,+/-6.9,"73,004","+/-34,915",33.0%,+/-7.9,"31,406","+/-15,814",48.2%,+/-7.3,"76,686","+/-41,498",42.7%,+/-7.6,"43,818","+/-20,651",30.1%,+/-7.2,"11,863","+/-4,515",16.2%,+/-5.4,"21,636","+/-18,161",33.8%,+/-7.2,"54,703","+/-38,292",43.3%,+/-7.1,"23,840","+/-9,474",27.6%,+/-8.2,"11,810","+/-6,219",21.8%,+/-5.2,"6,645","+/-3,751",40.5%,+/-5.8,"119,361","+/-90,333",23.4%,+/-6.1,"43,869","+/-39,453",20.4%,+/-6.3,"29,911","+/-25,092",13.0%,+/-4.7,"17,975","+/-11,506",35.1%,+/-7.6,"12,617","+/-4,940",23.8%,+/-7.5,"11,710","+/-9,242",17.2%,+/-6.3,"13,972","+/-10,102",25.2%,+/-7.2,"5,632","+/-4,097",12.7%,+/-6.3,"2,205","+/-1,290",11.6%,+/-5.7,"5,113","+/-4,327",2.8%,+/-4.0,N,N,13.4%,+/-4.8,"11,728","+/-7,578",2.6%,+/-2.2,"2,075","+/-3,047",18.7%,+/-5.7,"20,329","+/-14,405",2.0%,+/-2.4,"2,220","+/-4,775",0.9%,+/-1.2,N,N,27.6%,+/-6.5,"36,389","+/-22,101",35.0%,+/-7.2,"36,294","+/-10,220"
